uid,username,followers,post,comments,created at,hasZhuYilong
5635644754,一封山水,52936,#朱一龙重启之极海听雷# [悲伤] #朱一龙吴邪#  饰演人皮俑的小姐姐只有94斤，她说过拢龙抗她并不费劲，花絮里哥哥扛着她走也很轻松。           但是……在拢龙扛着人皮俑站起来的时候，他是咬着牙的。  不是扛不动，只是因为腰伤使不上劲[失望]  朱一龙辛苦了 @朱一龙 ​,265,2小时前,是
1778188991,toro海胆樱花虾各来一打,257,#重启之极海听雷#⚡️#朱一龙重启之极海听雷# ⚡️#朱一龙吴邪#   其实以为三叔死掉和以为张起灵死掉这两场戏，隔得颇近，情绪类似，演起来是很同意演出同质感的。 但是朱一龙在处理这两场戏的时候情绪差别非常明显。三叔那里他是已经信了，但是不愿意面对现实，所以一下子跑开，离尸体远远的，去翻大 ​,0,2分钟前,是
6707316192,橘小花One,36651,哈哈哈被吴邪看到可能会一拳打飞我～  猛男朱一龙也不要看[可怜][可怜][可怜]@朱一龙 #朱一龙吴邪# ⚡️#重启之极海听雷# ​,2,25分钟前,是
2281320287,如花一般痴,228,#朱一龙重启之极海听雷# [亲亲]#朱一龙吴邪# 「朱一龙重启，朱一龙吴邪，重启朱一龙吴邪@朱一龙 」我在#微博剧集榜#追剧打卡，我今天也有追重启之极海听雷哦，今天你追剧了吗？ http://t.cn/AiNwcjed ​,0,3分钟前,是
6613485672,欣欣向荣ZYL,1525,#朱一龙吴邪# 🐶 #朱一龙重启之极海听雷#  『朱一龙』G2 有事的时候：胖爷，“这还难呀？” 没事的时候：“胖子” “死胖子” @朱一龙  从此天下无难事，只因听了吴邪一句“这还难呀”[害羞][害羞][害羞] http://t.cn/A6yu2QgI ​​​,0,3分钟前,是
1846388787,璎熙雪烨,119,#朱一龙重启之极海听雷#👟#朱一龙吴邪#👟#重启之极海听雷# 7月23号寻艺明权打卡 朱一龙！！重启朱一龙的小尾巴ଘ(੭ˊ꒳ˋ)੭✧«٩(*´ ꒳ `*)۶»@朱一龙 ​,0,3分钟前,是
7305057556,mylily619,60,#朱一龙重启之极海听雷# 🌻 #朱一龙吴邪#   『朱一龙吴邪』往后余生，风雪是你，平淡是你，清贫是你，荣华也是你。@朱一龙 ​,0,4分钟前,是
5951219126,影视剧学长,3223014,#重启之极海听雷# 张起灵2G在线、5G救人哈哈哈哈哈哈[允悲] http://t.cn/A6yB1ygt ​,111,1小时前,否
5393342832,叶宁48989,212,#朱一龙重启之极海听雷# ⚡️#朱一龙吴邪# 🌊#重启之极海听雷#  朱一龙   那颜色的确会感染人，我在其中也深受鼓舞，好像轻易可以腾空，整个人也变得轻快。我也是一种颜色吧，所以 总是乐见这种化学作用。@朱一龙 ​,0,4分钟前,是
6450020527,拾甜记,194440,发布了头条文章：《《重启之极海听雷》开播，你觉得怎么样？》  http://t.cn/A6yBFSf4 ​,0,4分钟前,否
5035320882,深渊下的小火锅,109,找不着调我只能昂昂昂了🙄#重启之极海听雷# ​,0,4分钟前,否
2789657345,45度仰望贵圈,26696,#电视剧# #45度仰望贵圈#  朱一龙的《重启之极海听雷》下周就要开始加更了，每周要更新六集。 ​,0,4分钟前,是
2103019911,可乐崽的满满麻麻,1682,#重启之极海听雷# 我要被我老公笑死了，他没看过盗墓笔记，然后问我熊瞎子和小哥什么关系？我听了懵逼了都，熊瞎子是谁？！我说人家叫黑瞎子[允悲]他还问过我吴邪的大叔是谁哈哈哈哈哈哈哈 ​,0,4分钟前,否
5541658233,爱奇艺APP,1483180,#重启之极海听雷#铁三角与黑眼镜相汇哑巴村，团战一触即发，他们又会面临怎样的境遇？今晚八点，继续来@爱奇艺 追剧哦～ ​,215,1小时前,否
5541658233,爱奇艺APP,1483180,#重启之极海听雷#铁三角与黑眼镜相汇哑巴村，团战一触即发，他们又会面临怎样的境遇？今晚八点，继续来@爱奇艺 追剧哦～ ​,215,1小时前,否
5476763428,世界上总有大傻子惹我生气,3620,#羡慕女皮俑#[憧憬]#朱一龙重启之极海听雷# [憧憬]#朱一龙吴邪# 咳，日常不想做人系列，朱一龙重启吴邪冲鸭@朱一龙 ​,0,5分钟前,是
7305057556,mylily619,60,#朱一龙重启之极海听雷# 🌻 #朱一龙吴邪#   『朱一龙吴邪』谁也不知道下一秒会发生什么，但是我能确信，在上一秒这一秒下一秒，我还是在喜欢你。@朱一龙 ​,0,5分钟前,是
5938148186,潇然一片,64,#重启之极海听雷#[哈哈] #朱一龙重启之极海听雷# [哈哈]#朱一龙吴邪#  【重启之极海听雷】吴邪个人向 朱一龙演的吴邪真的好看啊！！！@朱一龙   谢谢云之守护的细柴嗷！！！！http://t.cn/A6yBktDm ​​​,4,9分钟前,是
1821179531,剧综大赏,2496793,#重启之极海听雷# 昨晚更新的两集真的有点水了…前十集我是真的看到了重启的光，这两集真的毫无亮点，你们觉得呢？[费解] ​,29,5分钟前,否
6384922287,重启之极海听雷官微,527689,#羡慕女皮俑#听雷小剧场。今晚的宠虫酸了，想问怎么样才能成为下一位女皮俑小姐姐？[酸]#吴邪大战皮俑#  http://t.cn/A6y1DkUO ​,3293,14小时前,否
5863554602,__代号星星,242,#朱一龙重启之极海听雷#  启子别虐我哥了 这心稀碎稀碎的 [泪] ​,0,5分钟前,是
